Arquivo;Caminho;Tempo de Execução
test2.in;.//TPeak10000;        0.01 real         0.00 user         0.00 sys
test3.in;.//TPeak10000;        0.01 real         0.00 user         0.00 sys
test4.in;.//TPeak10000;        0.01 real         0.00 user         0.00 sys
test5.in;.//TPeak10000;        0.01 real         0.00 user         0.00 sys
test6.in;.//TPeak10000;        0.01 real         0.00 user         0.00 sys
test7.in;.//TPeak10000;        0.01 real         0.00 user         0.00 sys
test8.in;.//TPeak10000;        0.01 real         0.00 user         0.00 sys
test9.in;.//TPeak10000;        0.01 real         0.00 user         0.00 sys
test1.in;.//TPeak100000;        0.02 real         0.01 user         0.00 sys
test10.in;.//TPeak100000;        0.02 real         0.01 user         0.00 sys
test2.in;.//TPeak100000;        0.02 real         0.01 user         0.00 sys
test3.in;.//TPeak100000;        0.02 real         0.01 user         0.00 sys
test4.in;.//TPeak100000;        0.02 real         0.01 user         0.00 sys
test5.in;.//TPeak100000;        0.02 real         0.01 user         0.00 sys
test6.in;.//TPeak100000;        0.02 real         0.01 user         0.00 sys
test7.in;.//TPeak100000;        0.02 real         0.01 user         0.00 sys
test8.in;.//TPeak100000;        0.02 real         0.01 user         0.00 sys
test9.in;.//TPeak100000;        0.02 real         0.01 user         0.00 sys
test1.in;.//TRand10;        0.01 real         0.00 user         0.00 sys
test10.in;.//TRand10;        0.01 real         0.00 user         0.00 sys
test2.in;.//TRand10;        0.01 real         0.00 user         0.00 sys
test3.in;.//TRand10;        0.01 real         0.00 user         0.00 sys
test4.in;.//TRand10;        0.01 real         0.00 user         0.00 sys
test5.in;.//TRand10;        0.01 real         0.00 user         0.00 sys
test6.in;.//TRand10;        0.01 real         0.00 user         0.00 sys
test7.in;.//TRand10;        0.01 real         0.00 user         0.00 sys
test8.in;.//TRand10;        0.01 real         0.00 user         0.00 sys
test9.in;.//TRand10;        0.01 real         0.00 user         0.00 sys
test1.in;.//TRand100;        0.01 real         0.00 user         0.00 sys
test10.in;.//TRand100;        0.01 real         0.00 user         0.00 sys
test2.in;.//TRand100;        0.01 real         0.00 user         0.00 sys
test3.in;.//TRand100;        0.01 real         0.00 user         0.00 sys
test4.in;.//TRand100;        0.01 real         0.00 user         0.00 sys
test5.in;.//TRand100;        0.02 real         0.00 user         0.00 sys
test6.in;.//TRand100;        0.01 real         0.00 user         0.00 sys
test7.in;.//TRand100;        0.01 real         0.00 user         0.00 sys
test8.in;.//TRand100;        0.01 real         0.00 user         0.00 sys
test9.in;.//TRand100;        0.01 real         0.00 user         0.00 sys
test1.in;.//TRand1000;        0.01 real         0.00 user         0.00 sys
test10.in;.//TRand1000;        0.01 real         0.00 user         0.00 sys
test2.in;.//TRand1000;        0.01 real         0.00 user         0.00 sys
test3.in;.//TRand1000;        0.01 real         0.00 user         0.00 sys
test4.in;.//TRand1000;        0.01 real         0.00 user         0.00 sys
test5.in;.//TRand1000;        0.01 real         0.00 user         0.00 sys
test6.in;.//TRand1000;        0.01 real         0.00 user         0.00 sys
test7.in;.//TRand1000;        0.01 real         0.00 user         0.00 sys
test8.in;.//TRand1000;        0.01 real         0.00 user         0.00 sys
test9.in;.//TRand1000;        0.01 real         0.00 user         0.00 sys
test1.in;.//TRand10000;        0.01 real         0.00 user         0.00 sys
test10.in;.//TRand10000;        0.01 real         0.00 user         0.00 sys
test2.in;.//TRand10000;        0.01 real         0.00 user         0.00 sys
test3.in;.//TRand10000;        0.01 real         0.00 user         0.00 sys
